
a	(thông tục) loại a
quả bóng để tập đấm (bằng da nhồi hoặc bơm căng treo lơ lửng; nhất là các võ sự hay dùng)
máy đục lỗ
xem punch
xem punctate
người dùng những chấm để làm ký hiệu
(thực vật học) lốm đốm
dạng chấm
chú ý đến những chi tiết tỉ mỉ
xem punctuate
chấm nhỏ; điểm nhỏ
hăng; cay (ớt...)
(thực vật học) cây lựu
số nhiều
đỏ tía
xem puny
xem puny
xem punish
kiệt sức
kiệt sức (làm việc )
nhằm trừng trị
xem punitive
số nhiều punjabis
loại nhạc rốc dữ dội
người say mê nhạc rốc
xem punk
xem pun
súng bắn chim nước
dạng nhộng
thầy giáo dạy kèm trong khi vẫn đi học
xem pupil
dạy
dụng cụ đo đồng tử
ăn nhộng
dạng nhộng
bị người khác giật dây
<thgt> sự mập ú
<thgt> mối tình trẻ con
chuyện cổ tích ấn độ
thuộc purana
xem purblind
xem purchasable
thuế gián thu
xem purée
xem purge
xem purist
khắc khe (rất nghiêm khắc
xem puritanical
mũi đan móc (tạo ra những gờ nổi ở mặt trên)
phần được phân phối
(Purple Heart)  <Mỹ> huy chương tặng thưởng một binh sự bị thương trong chiến đấu
áo chẽn (đàn ông
có ý định
được làm ra cho một mục đích nhất định
có mục đích
không có mục đích
xem purposive
xem purposive
sự xâm chiếm tài sản
có màu đỏ tía
đổ tía
(động vật học) thuần chủng
sự khoe khoang giàu có
dây thắt ví tiền
xem purse
xem purulent
việc ngon xơi
khởi động (xe có động cơ) bằng cách đẩy nó cho máy chạy
tháo vát; giàu sáng kiến
huênh hoang
tính huênh hoang
xem pushing
<thgt> huênh hoang
nhát gan
mèo (được dùng bởi trẻ em
xem pussyfoot
mọc thành mụn mủ
(sinh vât học) chất làm mọc mụn mủ
sự làm bẽ mặt
giả thiết
<thgt> sự bày mưu tính kế
bị hành hạ
sự mãi dâm
xem putamen
xem putative
hủ bại
thối rửa; thối nát
xem putrid
xem putrify
xem putrefy
xem putsch
xem putter
xem putting-green
lỗ chơi gôn
tiếng Phổ thông (Trung Quốc)
nón núi lửa đã tắt
không hiểu được
puzolan; xi măng puzolan
<vt> của polyvinyl chloride nhựa PVC (một loại chất dẻo)
<Mỹ>  <vt> của Private lính trơn
<vt> của Policewoman nữ cảnh sát viên
lò phản ứng nước chịu áp lực (pressurized-water  reactor)
<Mỹ>  <vt> của Post Exchange trạm bán hàng cho quân đội
hình thái ghép có nghĩa là mủ: pyaemia : chứng mủ huyết
(thực vật học) thuộc phấn; túi bào tử phấn
cổ to chân ngắn
(thực vật học) túi bào tử phấn
số nhiều
thuộc pycnid
số nhiều pycnidia
tỷ trọng kế
(kiến trúc) hàng cột sít nhau
thoái hoá tế bào
thuộc gỗ cứng
xem piebald
(y học) viêm bể thận
(y học) ảnh chụp tia X quang bể thận
xem pyelography
(động vật học) thuộc đốt hậu môn
số nhiều pygidia
điều kiện bị lùn
cuống sinh dục
(động vật học) xương bánh lái
(y học) thuật cắt môn vị
viêm lợi chảy mủ; nha chu viêm
viêm lợi chảy mủ; nha chu viêm
xem py-
(y học) viêm mủ da
thuộc viêm mủ da
hình thái ghép co nghĩa là
họ bướm ống
chuyển nhượng hợp đồng (trong kinh doanh)
lý thuyết về kim tự tháp ở Ai cập và các di vật ở đấy
xem pyramid
số nhiều
số nhiều pyramidia
làm thành hình tháp
(vật lý) học nhật xạ kế
(thực vật học) hạch; hạt cứng (quả)
quả nạc có hạt cứng
hạt tạo tinh bột
(sinh vật học) phần chứa nhân (tế bào)
(Pyrex) loại thủy tinh chịu nhiệt tốt (dùng để nấu ăn
bức xạ kế mặt đất
trực xạ kế (dụng cụ đo bức xạ trực tiếp của mặt trời)
xem pyr-
xem pyrochemical
do nham tầng núi lửa tạo thành
xem pyrogenic
xem pyrography
thuật khắc nung
(tôn giáo) người bái hoả giáo
dụng cụ diệt lửa
do phân giải gỗ bằng nhiệt
nhiệt hoá học; nhiệt học
xem pyrolysis
xem pyromancy
thuộc hoả luyện kim học
xem pyrometer
máy phát động nhiệt khí
tự cháy; dẫn lửa
chất tự cháy
tự cháy
cái hoả nghiệm
xem pyrotechnic
xem pyroxene
thuốc nổ bông
chiến thắng phải trả giá đắt (bị tổn thất nhiều về người và của)
học thuyết Pitago
thời kỳ 4 năm giữa hai đại hội thể thao (cổ Hy lạp)
(cổ Hy lạp) thuộc điện thờ ở Đenphơ
thuật nói ý định thần linh
mủ trong nước tiểu; chứng đái ra mủ
có quả hộp
Cách viết khác : cadi 
(luật pháp Anh)  <vt> của Queen's Bench một cấp của toà án tối cao Anh quốc
Môi trường lập trình BASIC cải tiến
(luật pháp Anh)  <vt> của Queen's Counsel Hội đồng cố vấn của nữ hoàng
<vt> của tiếng La tinh quod erat demonstrandum điều đã được chứng minh
Một chương trình quản lý bộ nhớ của hãng Quaterdeck Office Systems
cartridge băng từ 1 / 3 inch (QIC)
(lịch sử Trung Hoa) Nhà Tần (221 - 206 trước Công nguyên) (cũng) Ch'in
(lịch sử TrungHoa) Nhà Thanh (1644 - 1912) (cũng) Ch'ing
chữ cái thứ 19 trong bảng chữ cái Do thái cổ
vt của quarter (s) một phần tư
vt của quart (s) một lít Anh
vt của quarto khổ bốn
vt của quantity số lượng
vt của query
đứt hơi
chập bốn (dây)
ngày chủ nhật đầu trong mùa chay (tuần trai giới trong đạo Thiên chúa)
ngày chủ nhật đầu trong mùa chay (tuần trai giới trong đạo Thiên chúa)
<tôn> (thuộc) mùa chay
dùng bốn kênh truyền hình (về truyền thanh)
hệ thống thu và phát âm thanh theo bốn kênh truyền
đèn bốn cực (đèn điện tử catod nung)
cờ vuông
đá than hình vuông
thời kỳ bốn năm
(thực vật học) bốn túi; bốn nang
(thực vật học) có bốn lá noãn
thứ bốn trăm năm
cơ bốn đầu
thú bốn sừng
(động vật học) có bốn sừng
có bốn lá mầm
xe đạp bốn bánh
bốn răng
bốn dây; bốn hàng
(thực vật học) xẻ bốn xâu
cây có bốn lá chét
sinh tư
(thực vật học) bốn thùy
bốn ô; bốn ngăn
bốn chấm; bốn đốm
(động vật học) bốn tay
bốn lá chét
bốn cánh
(thực vật học) bốn lá
(thực vật học) xẻ lá chét lông chim
máy bay có bốn cánh
tứ chi bất toại
bị liệt cả tay chân
bốn cực
số nhiều
thuộc chổ bốn đường gặp nhau
số nhiều quadrivia
bốn lứa (trong một năm)
dùng bốn kênh truyền hình (về truyền thanh)
sự ghi hay tái hiện âm bằng bốn kênh
xem quadr-
(động vật học) thú bốn tay
bộ nhân bốn; máy nhân bốn
(sinh vật học) bộ bốn; bộ bốn gen trội
(điện học) mạch bốn cực
(thông tục) thịt cừu bị bệnh
có vẻ cổ
người nhát gan
có tư cách/ khả năng/ điều kiện
chỉ phẩm chất
đủ tư cách
<ngôn> từ hạn định
(thuộc) phẩm chất
buồn nôn
tổ chức bán độc lập ohi chính phủ (tổ chức hành chánh hoạt động độc lập với sự hỗ trợ của nhà nước)
bộ lượng tử hoá
lượng tử kế; ống đếm lượng tử
sự đột phá
<lý> thuyết lượng tử
thuộc cơ học lượng tử
cơ học lượng tử
<lý> hạt quác
thích gây gổ
cửa kính phụ (xe ô tô)
cái móc
(âm nhạc) thời gian nghỉ bằng một nốt đen
cưa thành bốn phần sau đó mới cưa thành tấm
gậy dài làm võ khí
gió thổi từ phía sau thuyền (gió rất thuận)
một phần tư yard Anh (1 yard = 0
chuông đồng hồ điểm 15 phút một lần
<hải> boong lái (dành cho các sự quan)
sự phân chia huy hiệu làm bốn phần
(Quartermaster-General) chủ nhiệm Tổng cục hậu cần
bốn người một tổ
gậy dài (từ 1
(toán học) thuộc bậc bốn
đá có thạch anh
Cách viết khác : quartzous 
xem quartzose
chứa thạch anh
<thvăn> chuẩn tinh (ở rất xa
cái giống như luận cứ
dạng gần như là hợp đồng/khế ước; chuẩn khế ước
gần như lịch sử; giống như lịch sử
gần như có tính chất pháp luật
(tôn giáo) chủ nhật sau lễ phục sinh
xem kvass
(dược học) Quaxin (lấy ở cây thằn lằn)
có bộ bốn; tử bội; có mẫu bốn
(tôn giáo) tứ vị nhất thể
kiểu trang trí hình lá bốn thùy
bài thơ 14 câu
nghệ sĩ Y thế kỷ 15
đất ở bên cạnh bến cảng
buồn nôn; gây nôn
người nữ
đương kim hoàng hậu (người đang là vợ vua)
vợ goá của một ông vua
hoàng thái hậu (mẹ của nữ hoàng
phòng chúa (mối)
(động vật học) cá mạng
địa vị nữ hoàng
kỳ cục
sự tôi; sự dập tắt
người chất vấn
hay càu nhàu
thời gian quốc hội có quyền chất vấn chính phủ
thành ngữ question
người hỏi chính trong cuộc thi đố vui (trên truyền hình
đáng ngờ
dùng cử chỉ có tính chất dò hỏi
(cổ La mã) quan coi quốc khố; tài chính quan
chức quan coi quốc khố
đứng vào hàng người đã nối đuôi nhau
người queue-jump
người queue
khoái khẩu
bước đều (hiệu lệnh <qsự>)
sinh động; làm nhanh
ướp lạnh nhanh (đồ ăn để giữ phẩm chất)
thao tác nhanh
cát lún; cát lầy; cát chảy
thính mũi (chó)
sự thử nhanh
Một trình biên dịch hiệu suất cao dùng cho các chương trình được viết theo ngôn ngữ Microsoft BASIC
Công nghệ đồ họa hướng đối tượng và hiển thị văn bản được lưu trữ trong mọi bộ nhớ chỉ đọc ra (ROM) của máy Macintosh Khi xây dựng các chương trình Macintosh
ở vào nơi cát lún
điệu nhảy phốc-tơ-rốt nhanh
cây táo gai
Một phát triển đối với phần mềm hệ thống của Macintosh
một người nào đó (không ai biết)
thuộc bản chất
hao phí thời gian
in lặng
chủ nghĩa ẩn dật; dòng tu kín
người ẩn dật; người tu kín
có tác dụng giảm đau; trấn tỉnh
mớ tóc chảy ngược lên trên trán (nhất là của nam giới)
lông cánh
bút lông ngỗng
(thực vật học) cây thủy phỉ
(ngành dệt) máy đánh ống sợi ngang
(thông tục) bộ phận sinh dục nữ
<thgt> đứa trẻ sinh năm
vỏ cây canh-ki-na
(thuộc) kỷ niệm năm trăm năm
con số 10 ự 90 hay 1 000 000 ự 15
chủ nhật trước mùa chay (đạo thiên chúa)
ngày Chủ nhật trước Tuần chay (50 ngày trước lễ Phục sinh)
(động vật học) (thực vật học) năm răng
(động vật học) (thực vật học) năm dây; năm hàng
(thực vật học) xẻ năm sâu
(thực vật học) năm lá chét
có năm chữ
(cổ La mã) thuyền năm mái chèo
chia ra năm phần bằng nhau
từ năm âm tiết
Cách viết khác : quinquivalency 
Cách viết khác : quinquivalence 
(hoá học) có hoá trị năm
(thực vật học) năm vỏ
(thuộc) phần tinh chất
(toán học) bậc năm
gấp năm lần
lắm mưu mô; giỏi ngụy biện
(Anh
từ bỏ quyền
(sử học) tô nộp cho lãnh chúa (thường) cố định để miễn giao dịch
bệnh sưng chân (lừa
có bao tên
sự run
giữ thế
hào hiệp viển vông
người hỏi chính trong cuộc thi đố vui (trên truyền hình
tính chất có thể đùa nghịch
có thể đùa nghịch
(từ Mỹ
<Mỹ> kỳ thi kiểm tra nói (miệng)
tính kỳ quặc
thách đố
thích đùa bởn
có số đại biểu theo qui định
có thể trích dẫn; đáng trích dẫn
kinh Coran
<vt> của tiếng La tinh quod vide có thể xem
Cách bố trí các phím trên bàn phím máy đánh chữ tiêu chuẩn
<vt của research and development) nghiên cứu và phát triển
(vt của Royal Academy; Royal Academician) Viện Hàn lâm hoàng gia; viện sự Viện Hàn lâm hoàng gia
(Do thái) thầy; tiên sinh
chổ nối mộng
cái bào đường xoi
cái cưa đường soi
chức giáo sĩ pháp sư (Do thái); nhiệm kỳ pháp sư (Do thái)
thuộc rabbin
(thuộc) giáo sự Do thái
lời dạy và truyền thống rabbin
người theo đạo Do Thái
<thể> cú đấm vào gáy (quyền Anh)
người kích động quần chúng
(thuộc) người kích động quần chúng
tiếng nói ồn ào nhốn nháo
cái cào
đầy giọng hài hước tục tựu (theo phong cách của nhà văn Pháp Rabelais)
vt của Royal Automobile Club: Câu lạc bộ ô tô hoàng gia
mối quan hệ giữa nhiều chủng tộc trong cùng một cộng đồng
sự căm thù chủng tộc
cuộc xung đột chủng tộc (do tệ phân biệt chủng tộc gây ra)
đường đua
chương trình đua ngựa
(thực vật học) có chùm (hoa)
(thực vật học) chùm nhỏ
(thực vật học) có chùm nhỏ
(y học) chứng đau xương sống
(thuộc) cột sống
xem rachial
xếp trên trục
có dạng trục
(thực vật học) cuống bông nhỏ (hoa
có răng gai
(giải phẫu) trục
còi xương
(Anh) thủ đoạn bóc lột người lĩnh canh thẳng tay của lãnh chúa
đặc trưng cho chủng tộc
đặc biệt
cuộc đua
xem rack-railway
sân quần vợt có lưới bao quanh
khung ép vợt
mánh khoé làm tiền gian lận
<thgt> om sòm
giá đỡ; giá đựng
(hàng hải) rađa xác định mục tiêu ở xa
rad (đơn vị bức xạ)
vt của Royal Academy of Dramatic Art Học viện hoàng gia về nghệ thuật kịch
